
SIMILARITY ANALYSIS: STAT 1: WORDS FREQUENCY (TOP 50)
Comparison Pairs,Manhattan,Euclidean,Cosine,Jaccard,Dice,JS Div
Modern vs Bibal,0.9331,0.2109,0.6922,0.3637,0.5335,0.4329
Modern vs Mishna,0.7184,0.1331,0.7980,0.4715,0.6408,0.3488
Modern vs Rambam,0.8545,0.1598,0.6884,0.4013,0.5727,0.3771
Bibal vs Mishna,0.9346,0.2105,0.6950,0.3630,0.5327,0.4425
Bibal vs Rambam,1.1027,0.2547,0.5242,0.2892,0.4486,0.4882

SIMILARITY ANALYSIS: STAT 2: EDITH DORON SPECIAL WORDS
Comparison Pairs,Manhattan,Euclidean,Cosine,Jaccard,Dice,JS Div
Modern vs Bibal,0.0055,0.0029,0.7095,0.3239,0.4894,0.4323
Modern vs Mishna,0.0067,0.0044,0.2273,0.1512,0.2626,0.6180
Modern vs Rambam,0.0051,0.0038,0.2812,0.1883,0.3170,0.5693
Bibal vs Mishna,0.0067,0.0033,0.2159,0.0974,0.1775,0.6525
Bibal vs Rambam,0.0051,0.0024,0.2675,0.1295,0.2293,0.6006

SIMILARITY ANALYSIS: STAT 3: SUBORDINATING CONJUNCTIONS
Comparison Pairs,Manhattan,Euclidean,Cosine,Jaccard,Dice,JS Div
Modern vs Bibal,0.0169,0.0117,0.6373,0.2943,0.4548,0.4111
Modern vs Mishna,0.0081,0.0051,0.6436,0.3221,0.4872,0.4311
Modern vs Rambam,0.0101,0.0067,0.6334,0.2913,0.4512,0.4283
Bibal vs Mishna,0.0246,0.0143,0.2136,0.0990,0.1802,0.6144
Bibal vs Rambam,0.0263,0.0150,0.2121,0.1092,0.1969,0.6110

SIMILARITY ANALYSIS: STAT 4: SENTENCE LENGTH DISTRIBUTION
Comparison Pairs,Manhattan,Euclidean,Cosine,Jaccard,Dice,JS Div
Modern vs Bibal,1.1942,0.6470,0.3371,0.2523,0.4029,0.4951
Modern vs Mishna,1.0861,0.5958,0.3998,0.2961,0.4570,0.4438
Modern vs Rambam,1.5647,0.6692,0.1051,0.1221,0.2177,0.6563
Bibal vs Mishna,0.2442,0.0846,0.9919,0.7824,0.8779,0.1638
Bibal vs Rambam,1.5165,0.5092,0.2630,0.1375,0.2417,0.6316

SIMILARITY ANALYSIS: STAT 5: UNIQUE WORDS PER SENTENCE
Comparison Pairs,Manhattan,Euclidean,Cosine,Jaccard,Dice,JS Div
Modern vs Bibal,0.7212,0.3257,0.7602,0.4699,0.6394,0.3195
Modern vs Mishna,0.4788,0.2469,0.8552,0.6137,0.7606,0.2356
Modern vs Rambam,1.4239,0.4729,0.2936,0.1683,0.2880,0.5881
Bibal vs Mishna,0.2866,0.1125,0.9725,0.7493,0.8567,0.1505
Bibal vs Rambam,1.3243,0.4504,0.4238,0.2033,0.3379,0.5677

SIMILARITY ANALYSIS: STAT 6: SYNTACTIC TREE DEPTH
Comparison Pairs,Manhattan,Euclidean,Cosine,Jaccard,Dice,JS Div
Modern vs Bibal,0.8066,0.3627,0.7643,0.4252,0.5967,0.3366
Modern vs Mishna,0.4594,0.2400,0.9090,0.6264,0.7703,0.2315
Modern vs Rambam,1.1113,0.5008,0.5154,0.2856,0.4443,0.4848
Bibal vs Mishna,0.4017,0.2076,0.9329,0.6655,0.7992,0.1865
Bibal vs Rambam,0.5808,0.2606,0.8686,0.5499,0.7096,0.2260

SIMILARITY ANALYSIS: STAT 7 & 8A: POS CATEGORY DISTRIBUTION
Comparison Pairs,Manhattan,Euclidean,Cosine,Jaccard,Dice,JS Div
Modern vs Bibal,0.4676,0.1707,0.8927,0.6210,0.7662,0.2780
Modern vs Mishna,0.2366,0.0809,0.9821,0.7884,0.8817,0.1217
Modern vs Rambam,0.4026,0.1519,0.9277,0.6649,0.7987,0.1773
Bibal vs Mishna,0.4506,0.1705,0.9053,0.6323,0.7747,0.2756
Bibal vs Rambam,0.6367,0.2191,0.8446,0.5171,0.6817,0.3066

SIMILARITY ANALYSIS: STAT 7 & 8A: SYNTACTIC RELATIONS
Comparison Pairs,Manhattan,Euclidean,Cosine,Jaccard,Dice,JS Div
Modern vs Bibal,0.6192,0.1693,0.8650,0.5272,0.6904,0.2828
Modern vs Mishna,0.3101,0.0899,0.9576,0.7315,0.8449,0.1470
Modern vs Rambam,0.5002,0.1537,0.8361,0.5999,0.7499,0.2207
